mun_fr;mun_ar;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Oueslatia;الوسلاتیة;الوسلاتية;Liste indépendante;Al'Amana;الامانة;475;0,096309813;2;14209;355;107;4932;5394
Oueslatia;الوسلاتیة;الوسلاتية;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1000;0,202757502;5;14209;355;107;4932;5394
Oueslatia;الوسلاتیة;الوسلاتية;Liste indépendante;Alwesalatyya Tajmaouna;الوسلاتیة تجمعنا;977;0,198094079;5;14209;355;107;4932;5394
Oueslatia;الوسلاتیة;الوسلاتية;Liste indépendante;Awfya' Weslat;اوفیاء وسلات;619;0,125506894;3;14209;355;107;4932;5394
Oueslatia;الوسلاتیة;الوسلاتية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1040;0,210867802;5;14209;355;107;4932;5394
Oueslatia;الوسلاتیة;الوسلاتية;Liste partisane;Ennahdha;حزب حركة النھضة;821;0,166463909;4;14209;355;107;4932;5394
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste partisane;Courant Démocrate;التیار الدمقراطي;194;0,049401579;1;9706;236;80;4710;5026
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste de coalition;Front Populaire;الجبھة الشعبیة;582;0,148204736;3;9706;236;80;4710;5026
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste indépendante;Alshumukh;الشموخ;663;0,168831169;3;9706;236;80;4710;5026
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste partisane;Nidaa Tounes;حركة نداء تونس;990;0,25210084;4;9706;236;80;4710;5026
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste partisane;Ennahdha;حزب حركة النھضة;1094;0,278584161;5;9706;236;80;4710;5026
Ouled Chamekh;أولاد الشامخ;أولاد شامخ;Liste indépendante;Mawtini;موطني;404;0,102877515;2;9706;236;80;4710;5026
Rakada;رقادة;رقادة;Liste de coalition;Front Populaire;الجبھة الشعبیة;245;0,086085734;2;8489;153;60;2846;3059
Rakada;رقادة;رقادة;Liste indépendante;Alkarama;الكرامة;510;0,179198876;3;8489;153;60;2846;3059
Rakada;رقادة;رقادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;656;0,230498946;4;8489;153;60;2846;3059
Rakada;رقادة;رقادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;592;0,208011244;4;8489;153;60;2846;3059
Rakada;رقادة;رقادة;Liste partisane;Ennahdha;حزب حركة النھضة;843;0,2962052;5;8489;153;60;2846;3059
Redeyef;الردیف;الرديف;Liste de coalition;Front Populaire;الجبھة الشعبیة;1737;0,312353893;7;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste indépendante;Redeyef Awlaan;الردیف أولا;349;0,062758497;1;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste indépendante;Alssahm;السھم;412;0,074087394;2;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste indépendante;Alqalae;القلعھ;363;0,065276029;2;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste indépendante;Allama;اللمة;252;0,045315591;1;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste partisane;Mouvement Du Peuple;حركة الشعب;407;0,073188275;2;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste partisane;Machrouu Tounes;حركة مشروع تونس;204;0,03668405;1;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste partisane;Nidaa Tounes;حركة نداء تونس;664;0,119402985;3;13028;172;88;5561;5821
Redeyef;الردیف;الرديف;Liste partisane;Ennahdha;حزب حركة النھضة;1173;0,210933285;5;13028;172;88;5561;5821
Rejiche;الرجیش;الرجيش;Liste indépendante;Ikhdim Biladik;أخدم بلادك;1238;0,427338626;8;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste partisane;Afek Tounes;أفاق تونس;184;0,06351398;1;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste partisane;Courant Démocrate;التیار الدمقراطي;176;0,060752503;1;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste de coalition;Front Populaire;الجبھة الشعبیة;318;0,109768726;2;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste indépendante;Almustaqila Lilmuatana Brjysh;المستقلة للمواطنة برجیش;221;0,076285813;1;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste partisane;Nidaa Tounes;حركة نداء تونس;319;0,110113911;2;5454;74;53;2897;3024
Rejiche;الرجیش;الرجيش;Liste partisane;Ennahdha;حزب حركة النھضة;441;0,152226441;3;5454;74;53;2897;3024
Rejim Mâatoug;رجیم معتوق;رجيم معتوق;Liste indépendante;Altumuh;الطموح;237;0,199159664;2;1958;26;25;1190;1241
Rejim Mâatoug;رجیم معتوق;رجيم معتوق;Liste partisane;Nidaa Tounes;حركة نداء تونس;514;0,431932773;5;1958;26;25;1190;1241
Rejim Mâatoug;رجیم معتوق;رجيم معتوق;Liste partisane;Mouvement Du Peuple;حزب حركة الشعب;83;0,069747899;1;1958;26;25;1190;1241
Rejim Mâatoug;رجیم معتوق;رجيم معتوق;Liste partisane;Ennahdha;حزب حركة النھضة;356;0,299159664;4;1958;26;25;1190;1241
Remada;رمادة;رمادة;Liste indépendante;Al Hurrya;الحریة;187;0,149122807;3;4292;63;27;1254;1344
Remada;رمادة;رمادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;86;0,068580542;1;4292;63;27;1254;1344
Remada;رمادة;رمادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;401;0,319776715;6;4292;63;27;1254;1344
Remada;رمادة;رمادة;Liste partisane;Ennahdha;حزب حركة النھضة;580;0,462519936;8;4292;63;27;1254;1344
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste partisane;Courant Démocrate;التیار الدمقراطي;2251;0,167460199;5;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste de coalition;Front Populaire;الجبھة الشعبیة;767;0,057059961;2;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste indépendante;Alssaqyt Almazyana;الساقیة المزیانة;2487;0,185017111;6;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste partisane;AL IRADA;حراك تونس الارادة;608;0,045231364;1;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste partisane;Nidaa Tounes;حركة نداء تونس;1856;0,138074691;4;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste partisane;Ennahdha;حزب حركة النھضة;4818;0,358428805;11;32535;220;193;13442;13855
Sakiet Ezzit;ساقیة الزیت;ساقية الزيت;Liste indépendante;Eashaq Al'Ard;عشاق الارض;655;0,048727868;1;32535;220;193;13442;13855
Sakiet Sidi Youssef;ساقیة سیدي یوسف;ساقية سيدي يوسف;Liste partisane;Nidaa Tounes;حركة نداء تونس;776;0,327012221;6;7995;240;82;2373;2695
Sakiet Sidi Youssef;ساقیة سیدي یوسف;ساقية سيدي يوسف;Liste partisane;Ennahdha;حزب حركة النھضة;968;0,407922461;7;7995;240;82;2373;2695
Sakiet Sidi Youssef;ساقیة سیدي یوسف;ساقية سيدي يوسف;Liste indépendante;Qayimat Alwafa' Lilshuhadaa';قائمة الوفاء للشھداء;629;0,265065318;5;7995;240;82;2373;2695
Sanouche;زانوش;زانوش;Liste indépendante;Al'Amal;الأمل;728;0,213677722;4;7039;201;34;3407;3642
Sanouche;زانوش;زانوش;Liste indépendante;Almustaqila Lil Amal W Altanmya;المستقلة للعمل و التنمیة;723;0,212210156;4;7039;201;34;3407;3642
Sanouche;زانوش;زانوش;Liste partisane;Nidaa Tounes;حركة نداء تونس;665;0,195186381;4;7039;201;34;3407;3642
Sanouche;زانوش;زانوش;Liste partisane;Ennahdha;حزب حركة النھضة;650;0,190783681;3;7039;201;34;3407;3642
Sanouche;زانوش;زانوش;Liste indépendante;Mustaqiloun;مستقلون;641;0,18814206;3;7039;201;34;3407;3642
Sbiba;سبیبة;سبيبة;Liste de coalition;Front Populaire;الجبھة الشعبیة;341;0,054118394;1;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste indépendante;Alyad Albydhaa;الید البیضاء;639;0,101412474;3;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2432;0,385970481;9;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste partisane;Ennahdha;حزب حركة النھضة;1252;0,198698619;5;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste indépendante;Sbyba Afdhal;سبیبة أفضل;132;0,020949056;0;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste indépendante;Sbyba Awlan;سبیبة اولا;1238;0,19647675;5;15188;167;122;6301;6590
Sbiba;سبیبة;سبيبة;Liste indépendante;Shabab Sbyba;شباب سبیبة;267;0,042374226;1;15188;167;122;6301;6590
Sbikha;السبیخة;السبيخة;Liste de coalition;Front Populaire;الجبھة الشعبیة;263;0,042847833;1;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste indépendante;Alzzitouna;الزیتونة;1145;0,186542848;5;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste indépendante;Alsbikha Amal;السبیخة أمل;728;0,118605409;3;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste indépendante;Al Ayn Alssahra;العین الساھرة;493;0,080319322;2;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste partisane;Mouvement Du Peuple;حركة الشعب;322;0,052460085;1;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1818;0,296187683;7;17576;359;83;6138;6580
Sbikha;السبیخة;السبيخة;Liste partisane;Ennahdha;حزب حركة النھضة;1369;0,22303682;5;17576;359;83;6138;6580
Sers;السرس;السرس;Liste indépendante;Al'Amal;الأمل;1026;0,352335165;6;9432;291;70;2912;3273
Sers;السرس;السرس;Liste partisane;Nidaa Tounes;حركة نداء تونس;1212;0,416208791;8;9432;291;70;2912;3273
Sers;السرس;السرس;Liste partisane;Ennahdha;حزب حركة النھضة;674;0,231456044;4;9432;291;70;2912;3273
Sfax;صفاقس;صفاقس;Liste de coalition;Union Civile;الاتحاد المدني;2230;0,049069225;2;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Courant Démocrate;التیار الدمقراطي;7486;0,164722968;8;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste de coalition;Front Populaire;الجبھة الشعبیة;2015;0,044338336;2;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;3384;0,074461999;3;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Beni Watani;بني وطني;3549;0,078092681;4;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;AL IRADA;حراك تونس الارادة;957;0,021057959;0;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Mouvement Du Peuple;حركة الشعب;732;0,016107028;0;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Nidaa Tounes;حركة نداء تونس;7424;0,163358711;7;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste partisane;Ennahdha;حزب حركة النھضة;13960;0,307177749;14;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste indépendante;Taryq Alraffah;طریق الرفاه;1294;0,028473353;0;148647;1007;784;45446;47237
Sfax;صفاقس;صفاقس;Liste indépendante;Nadhef#;نظف#;2415;0,05313999;2;148647;1007;784;45446;47237
Sidi Aich;سیدي عیش;سيدي عيش;Liste indépendante;Al'Ikhtyar Al'Afdal;الإختیار الأفضل;556;0,168026594;3;5897;131;34;3309;3474
Sidi Aich;سیدي عیش;سيدي عيش;Liste partisane;Nidaa Tounes;حركة نداء تونس;446;0,134783923;2;5897;131;34;3309;3474
Sidi Aich;سیدي عیش;سيدي عيش;Liste partisane;Ennahdha;حزب حركة النھضة;472;0,142641281;3;5897;131;34;3309;3474
Sidi Aich;سیدي عیش;سيدي عيش;Liste indépendante;Sidi Eysh Awlaan;سیدي عیش أولا;424;0,128135388;2;5897;131;34;3309;3474
Sidi Aich;سیدي عیش;سيدي عيش;Liste indépendante;Sidi Eysh Lil Jamye;سیدي عیش للجمیع;879;0,265639166;5;5897;131;34;3309;3474
Sidi Aich;سیدي عیش;سيدي عيش;Liste indépendante;W Bihyth Thya Sidi Eysh;و بحیث تحیا سیدي عیش;532;0,160773648;3;5897;131;34;3309;3474
Sidi Alouane;سیدي علوان;سيدي علوان;Liste partisane;Nidaa Tounes;حركة نداء تونس;967;0,397942387;10;10678;178;117;2430;2725
Sidi Alouane;سیدي علوان;سيدي علوان;Liste partisane;Ennahdha;حزب حركة النھضة;1463;0,602057613;14;10678;178;117;2430;2725
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste de coalition;Union Civile;الإتحاد المدني;265;0,097140762;1;5336;64;42;2728;2834
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste indépendante;Al Ssalaah;الصلاح;133;0,048753666;1;5336;64;42;2728;2834
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste indépendante;Al Manara;المنارة;348;0,127565982;2;5336;64;42;2728;2834
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste partisane;Nidaa Tounes;حركة نداء تونس;1382;0,50659824;6;5336;64;42;2728;2834
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste partisane;Ennahdha;حزب حركة النھضة;261;0,095674487;1;5336;64;42;2728;2834
Sidi Bou Said;سیدي بوسعید;سيدي بوسعيد;Liste indépendante;Sidi Bousaid 'Assala W Mustaqbal;سيدي بوسعيد أصالة و مستقبل;339;0,124266862;1;5336;64;42;2728;2834
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste indépendante;Al'Asala;الأصالة;251;0,148608644;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste indépendante;Aleamal W Almuthabara;العمل و المثابرة;297;0,175843694;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste indépendante;Almustaqbal;المستقبل;64;0,037892244;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste indépendante;Alnajah;النجاح;230;0,136175252;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste indépendante;Al Nadhra Alththaqiba;النظرة الثاقبة;254;0,150384843;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste partisane;Nidaa Tounes;حركة نداء تونس;323;0,191237419;2;2587;69;21;1689;1779
Sidi Boubaker;سیدي بوبكر;سيدي بوبكر;Liste partisane;Ennahdha;حزب حركة النھضة;270;0,159857904;2;2587;69;21;1689;1779
Sidi Hassine;سیدي حسین;سيدي حسين;Liste indépendante;Altaoumouh W Al Tanmya;الطموح و التنمیة;584;0,068843569;2;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;313;0,036897324;1;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1899;0,223859484;8;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste partisane;Ennahdha;حزب حركة النھضة;3723;0,438877756;16;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste indépendante;Sidi Hassin Alghad;سیدي حسین الغد;840;0,099021573;4;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste indépendante;Sidi Hassin Awalan;سیدي حسین أولا;863;0,101732878;4;38119;392;296;8484;9172
Sidi Hassine;سیدي حسین;سيدي حسين;Liste partisane;El Binaa Al Watani;فك بلاصتك;261;0,030767417;1;38119;392;296;8484;9172
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste indépendante;Al'Amal;الأمل;168;0,088607595;1;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste indépendante;Alhorya;الحریة;402;0,212025316;4;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste indépendante;Almustaqbal Awlaan;المستقبل أولا;365;0,192510549;3;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste indépendante;Alnusur;النسور;88;0,046413502;1;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;0,094409283;2;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste partisane;Nidaa Tounes;حركة نداء تونس;295;0,155590717;3;5483;86;54;1896;2036
Sidi Jadidi;سیدي الجدیدي;سيدي الجديدي;Liste partisane;Ennahdha;حزب حركة النھضة;399;0,210443038;4;5483;86;54;1896;2036
Sidi Morched;سیدي مرشد;سيدي مرشد;Liste partisane;Nidaa Tounes;حركة نداء تونس;705;0,339431873;6;7352;161;50;2077;2288
Sidi Morched;سیدي مرشد;سيدي مرشد;Liste partisane;Ennahdha;حزب حركة النھضة;909;0,437650457;8;7352;161;50;2077;2288
Sidi Morched;سیدي مرشد;سيدي مرشد;Liste indépendante;Fyq;فیق;463;0,22291767;4;7352;161;50;2077;2288
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste indépendante;Alshabab Almustaqil;الشباب المستقل;112;0,082413539;1;3730;122;19;1359;1500
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste indépendante;Almustaqbal;المستقبل;201;0,14790287;2;3730;122;19;1359;1500
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste indépendante;Amana;أمانة;527;0,387785136;5;3730;122;19;1359;1500
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste partisane;Nidaa Tounes;حركة نداء تونس;171;0,125827815;1;3730;122;19;1359;1500
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste partisane;Ennahdha;حزب حركة النھضة;246;0,181015453;2;3730;122;19;1359;1500
Sidi Smail;سیدي اسماعیل;سيدي إسماعيل;Liste indépendante;Kouwka Alghad;كوكة الغد;102;0,075055188;1;3730;122;19;1359;1500
Sidi Thabet;سیدي ثابت;سيدي ثابت;Liste partisane;Courant Démocrate;التیار الدمقراطي;352;0,094649099;2;10100;147;60;3719;3926
Sidi Thabet;سیدي ثابت;سيدي ثابت;Liste indépendante;Alwifaq;الوفاق;351;0,09438021;2;10100;147;60;3719;3926
Sidi Thabet;سیدي ثابت;سيدي ثابت;Liste indépendante;Amal Sidi Thabet;أمل سیدي ثابت;891;0,239580532;4;10100;147;60;3719;3926
Sidi Thabet;سیدي ثابت;سيدي ثابت;Liste partisane;Nidaa Tounes;حركة نداء تونس;884;0,237698306;4;10100;147;60;3719;3926
Sidi Thabet;سیدي ثابت;سيدي ثابت;Liste partisane;Ennahdha;حزب حركة النھضة;1241;0,333691853;6;10100;147;60;3719;3926
Sidi Zid;سیدي زید أولاد مولاھم;سيدي زيد - أولاد مولاهم;Liste indépendante;Alnour;النور;602;0,140818713;2;8200;148;81;4275;4504
Sidi Zid;سیدي زید أولاد مولاھم;سيدي زيد - أولاد مولاهم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1323;0,309473684;6;8200;148;81;4275;4504
Sidi Zid;سیدي زید أولاد مولاھم;سيدي زيد - أولاد مولاهم;Liste partisane;Ennahdha;حزب حركة النھضة;1081;0,252865497;5;8200;148;81;4275;4504
Sidi Zid;سیدي زید أولاد مولاھم;سيدي زيد - أولاد مولاهم;Liste indépendante;Shabab Almustaqbal;شباب المستقبل;584;0,136608187;2;8200;148;81;4275;4504
Sidi Zid;سیدي زید أولاد مولاھم;سيدي زيد - أولاد مولاهم;Liste indépendante;Shabab Lilaamal;شباب للعمل;685;0,160233918;3;8200;148;81;4275;4504
Siliana;سلیانة;سليانة;Liste de coalition;Union Civile;الاتحاد المدني;334;0,050906874;1;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste partisane;Courant Démocrate;التیار الدمقراطي;365;0,055631763;1;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste de coalition;Front Populaire;الجبھة الشعبیة;500;0,076207895;2;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste partisane;Parti Destourien Libre Pdl;الحزب الدستوري الحر;1898;0,28928517;7;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste indépendante;Alwaed Alhur;الوعد الحر;166;0,025301021;0;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1032;0,157293096;4;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste partisane;Ennahdha;حزب حركة النھضة;1063;0,162017985;4;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste indépendante;Hannabal;حنبعل;470;0,071635421;2;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste indépendante;Silyana Barjalha Wanasaha;سلیانة برجالھا ونسائھا;345;0,052583448;1;22943;306;130;6561;6997
Siliana;سلیانة;سليانة;Liste indépendante;Shabab Silyana;شباب سلیانة;388;0,059137327;2;22943;306;130;6561;6997
Sisseb Edheriaat;سیسب الدریعات;سيسب الدريعات;Liste indépendante;Al'Iiqlae;الإقلاع;455;0,134456265;3;9702;141;64;3384;3589
Sisseb Edheriaat;سیسب الدریعات;سيسب الدريعات;Liste partisane;Courant Démocrate;التیار الدمقراطي;346;0,102245863;2;9702;141;64;3384;3589
Sisseb Edheriaat;سیسب الدریعات;سيسب الدريعات;Liste partisane;Nidaa Tounes;حركة نداء تونس;916;0,270685579;7;9702;141;64;3384;3589
Sisseb Edheriaat;سیسب الدریعات;سيسب الدريعات;Liste partisane;Ennahdha;حزب حركة النھضة;1401;0,414007092;10;9702;141;64;3384;3589
Sisseb Edheriaat;سیسب الدریعات;سيسب الدريعات;Liste indépendante;Sysib Alkubraa;سیسب الكبرى;266;0,078605201;2;9702;141;64;3384;3589
Skhira;الصخیرة;الصخيرة;Liste indépendante;Al'Amana;الأمانة;2020;0,229885057;6;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste de coalition;Front Populaire;الجبھة الشعبیة;274;0,031182429;1;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste indépendante;Alskhyrt Almustaqbal;الصخیرة المستقبل;249;0,028337316;0;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste indépendante;Alskhyrt Tajamaeuna;الصخیرة تجمعنا;840;0,095595766;2;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste indépendante;Aleadala;العدالة;618;0,070331171;2;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste indépendante;Alyasamyn;الیاسمین;850;0,096733811;2;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1868;0,212586776;5;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste partisane;Ennahdha;حزب حركة النھضة;962;0,109479914;3;16268;254;95;8787;9136
Skhira;الصخیرة;الصخيرة;Liste indépendante;Qayimat Maeaan Nartaqi;قائمة معا نرتقي;1106;0,125867759;3;16268;254;95;8787;9136
Smar;الصمار;الصمار;Liste indépendante;Al'Iirada W Al Aamal;الإرادة و العمل;109;0,047104581;1;5927;80;36;2314;2430
Smar;الصمار;الصمار;Liste indépendante;Al'Iimtyaz;الإمتیاز;219;0,094641314;2;5927;80;36;2314;2430
Smar;الصمار;الصمار;Liste partisane;AL IRADA;حراك تونس الارادة;270;0,116681072;2;5927;80;36;2314;2430
Smar;الصمار;الصمار;Liste partisane;Nidaa Tounes;حركة نداء تونس;468;0,202247191;3;5927;80;36;2314;2430
Smar;الصمار;الصمار;Liste partisane;Ennahdha;حزب حركة النھضة;1248;0,539325843;10;5927;80;36;2314;2430
Sned;السند;السند;Liste indépendante;Albalabiya Liljimye;البلدیة للجمیع;278;0,06247191;1;10501;135;82;4450;4667
Sned;السند;السند;Liste de coalition;Front Populaire;الجبھة الشعبیة;366;0,082247191;2;10501;135;82;4450;4667
Sned;السند;السند;Liste partisane;Parti Socialiste;الحزب الاشتراكي;137;0,030786517;1;10501;135;82;4450;4667
Sned;السند;السند;Liste indépendante;Arroyaa Aljadyda;الرؤیة الجدیدة;576;0,129438202;2;10501;135;82;4450;4667
Sned;السند;السند;Liste indépendante;Zitouna;الزیتونة;228;0,051235955;1;10501;135;82;4450;4667
Sned;السند;السند;Liste indépendante;Judhur W 'Ajniha;جذور و أجنحة;792;0,177977528;3;10501;135;82;4450;4667
Sned;السند;السند;Liste partisane;Nidaa Tounes;حركة نداء تونس;996;0,223820225;4;10501;135;82;4450;4667
Sned;السند;السند;Liste partisane;Ennahdha;حزب حركة النھضة;1077;0,242022472;4;10501;135;82;4450;4667
Soliman;سلیمان;سليمان;Liste indépendante;Al'Amal;الامل;126;0,013930348;0;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste partisane;Courant Démocrate;التیار الدمقراطي;471;0,052072968;1;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste de coalition;Front Populaire;الجبھة الشعبیة;439;0,048535102;1;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste partisane;Parti Socialiste;الحزب الاشتراكي;109;0,012050857;0;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste indépendante;Almustaqbal;المستقبل;844;0,093311222;2;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;647;0,071531233;2;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1721;0,190270868;5;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste partisane;Ennahdha;حزب حركة النھضة;2202;0,24344942;6;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste indépendante;Salyman Almazyana;سلیمان المزیانة;1821;0,2013267;5;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste indépendante;Salyman Fi Alqalb;سلیمان في القلب;176;0,019458264;0;18888;272;136;9045;9453
Soliman;سلیمان;سليمان;Liste indépendante;Lmbara;لمبارة;489;0,054063018;2;18888;272;136;9045;9453
Souk El Ahed;سوق الأحد;سوق الأحد;Liste indépendante;Al'Amal;الأمل;122;0,034708393;1;12666;158;93;3515;3766
Souk El Ahed;سوق الأحد;سوق الأحد;Liste partisane;Nidaa Tounes;حركة نداء تونس;240;0,068278805;1;12666;158;93;3515;3766
Souk El Ahed;سوق الأحد;سوق الأحد;Liste partisane;Mouvement Du Peuple;حزب حركة الشعب;1627;0,4628734;8;12666;158;93;3515;3766
Souk El Ahed;سوق الأحد;سوق الأحد;Liste partisane;Ennahdha;حزب حركة النھضة;1042;0,296443812;5;12666;158;93;3515;3766
Souk El Ahed;سوق الأحد;سوق الأحد;Liste indépendante;Souk Al'Ahad Tajamaeuna;سوق الأحد تجمعنا;484;0,13769559;3;12666;158;93;3515;3766
Souk Essebt;سوق السبت;سوق السبت;Liste partisane;Machrouu Tounes;حركة مشروع تونس;634;0,415465269;8;5202;98;39;1526;1663
